A,B,C,D
Neeme Jarvi,KODALY: Dances of Galanta / Hary Janos Suite / Peacock Variations,Hary Janos Suite : VI. A csaszari udvar bevonulasa (Entrance of the Emperor and his Court),0
Los Fabulosos Cadillacs,Bares y Fondas,Noches Arabes,1986
Jack Off Jill,Humid Teenage Mediocrity,Horrible,1995
Kool Moe Dee,Knowledge Is King,Knowledge Is King,1989
Carlos Ponce,Carlos Ponce,Decir Adios,1999
Solomon,Solomon plays Beethoven,Piano Sonata No. 28 in A Op. 101 (1993 Digital Remaster): III.    Adagio_ ma non troppo,0
Desert Dwellers,DownTemple Dub: Flames,Pranafestation,2006
D.A.D.,Osaka After Dark,Sleeping My Day Away [Live],0
Black Eyed Peas,Kids Sing Along Pac,Let's Get It Started,2004
The Merry Macs,Something Old_ New_ Borrowed And Blue,Sentimental Journey,0
Lizzy Borden,Deal With The Devil,There Will Be Blood Tonight,2000
The Tragically Hip,World Container,The Drop-Off,2006
Pinch feat. Rudey Lee,Box Of Dub 2: Dubstep And Future Dub,Step 2 It,0
Brand X,Morrocan Roll,Collapsar,1977
Casual,Casual,I believe,0
Scott Krippayne,Gentle Revolution,In The Name Of God (Gentle Revolution Album Version),0
Righteous Brothers,Classic,Harlem Shuffle,1999
Isabel Pantoja,A Tu Vera,Limosna De Amores,1999
Mish Mash,Mish Mash_ Le Blues European: Musique Slave Et Klezmer,Pish Tash,0
Bobby Pulido,Enséñame,Mi Alma Esta Enamorada,1996
Orquesta Sublime,Sabor A Cuba,Seis Perlas Cubanas,0
Flowin Immo et Les Freaqz,Immoment,Immonumental,2009
Photek,Solaris,Under The Palms,2000
Michael Jackson,HIStory - PAST_ PRESENT AND FUTURE - Book I,Tabloid Junkie,1995
Juanes,La Vida Es Un Ratico En Vivo,Rebelion,0
Sui Generis,Adios Sui Generis Vol III,Bubulina,1975
BigElf,Cheat the Gallows,Superstar,2008
Bebo Norman,Try,Borrow Mine,2004
Joe Rogan,I'm Gonna Be Dead Someday,Tigers Fucking (Spoken Word) (Album Version),2000
In Extremo,Am goldenen Rhein,Vollmond,2000
Isaacs,Mountain Homecoming - Volume 1,Did You Ever Go Sailin',0
Don Francisco,Signature Songs,Give Your Heart a Home,1991
Alex Fong,Hao Lai Hao Qu,Hao Lai Hao Qu,0
Who Made Who,The Remix Collection,This Train (Munk Edit),0
Mavado,Gangsta For Life: The Symphony Of David Brooks,Real McKoy Feat. Busy Signal,2007
Mike And The Mechanics,Mike & The Mechanics Hits,Nobody's Perfect,1988
Gustavo Santaolalla,Nanga Parbat (Original Soundtrack),Moving Up,0
Atari Teenage Riot,Live In Philadelphia,Destroy 2000 Years Of Culture,1997
Ocho y Media,Sigue!,A la Hora,0
Otis Spann,Spanning A Lifetime,Evil Ways,1989
Orquesta Sublime,Encuentro De Charangas,La Vida Eres,0
Hanoi Rocks,Another Hostile Takeover,No Comprimise_ No Regrets,2005
Daniela Dessì,Soundtrack 2,Tramonto Etnico,0
Staatskapelle Dresden/Herbert Blomstedt,Grieg: Peer Gynt_ Piano Concerto & Songs,Peer Gynt - Incidental Music (2004 Digital Remaster): 4.   In the Hall of the Mountain King,0
Doug Sahm Tex Mex Trip,Groover's Paradise,Catch Me In The Morning (Album Version),0
Nicola Fasano feat. Paula B.,Just House Vol.1,Missing,0
Bill & Gloria Gaither,Freedom Band,Stand By Me (Freedom Band Album Version),0
RUN-DMC,Tougher Than Leather,Crack,1988
Danny Elfman,Standard Operating Procedure,Birdies,0
Cam'Ron / Juelz Santana,Come Home With Me,Losing Weight Part 2,2002
F4,Discobeatles,Get Back,0
Katie Armiger,Katie Armiger,Love Without Fear,0
Mack and Jamie,Extreme Channel Surfing,Goofy Golf,0
Minipop,A New Hope,Fingerprints,2007
Frank Ifield,The Best Of The EMI Years,Give Me Your Word,0
Gonzalo Rubalcaba,Solo,Improv #1,2006
Krystof,Mikrokosmos,Star,2004
George Lopez,Team Leader,Kids In the Store,2003
Fyah Blaze,Rustic,Hurry Hurry Baby (Dj Edit),0
Jeff Beck Group,Original Album Classics,Jody,1971
Clara Nunes,Bis - Clara Nunes,Tudo E Ilusao (1997 Digital Remaster),0
Atman,The Lonely Road,Distant Voices,2002
The Del McCoury Band,Celebrating 50 Years Of Del McCoury,Rain Please Go Away,0
Toots & The Maytals,Pressure Drop: The Definitive Collection,She Will Never Let Me Down,1998
Ben E. King,Street Tough,You Made The Difference To My Life (LP Version),0
Cece Winans,Everlasting Love,Life,1998
Joanna Connor,Nothing But The Blues,Meditations,0
The LeRoi Brothers,Happy Birthday Buck - A Texas Salute to Buck Owens,Flash_ Crash and Thunder,0
Dhamika,Levitation Gravitation,Peace Prayer,0
Taste,On The Boards,On The Boards,1970
K.T. Oslin,Tribute To Piaf,The Legionnaire,0
Hemdale,Rad Jackson,Pus-Filled Carcass,0
Hot Tuna,Hot Tuna: Live,Death Don't Have No Mercy,1970
Bacilos,Sinverguenza,Sangre americana,2004
Jimmy Witherspoon,Blowin' In From Kansas City,I'm Going Around In Circles,0
Red I Flight,The Years,Of Myth And Men (Album Version),2008
Jimmy McGriff,The Best of the Headfirst Years,Hip Hug Her,0
Terminal 11 feat. b.b0Nd,Open Up And Say...@<%_|^[!]: A Tigerbeat6 Compilation,In Place Of Love [edit],0
Bob Wills,Backline Volume 4,Bubbles in My Beer,1991
Headhunter,Rebirth,Are We Mindless?,0
Dobet Gnahoré,Djekpa la you,Wigue,2010
Smidi Beats,Las Vegas Number 1 Producer,Grin'in In Ya Face,0
Adrenaline,Castrum Doloris,Playing the Role of God,0
Sam Fan Thomas,Makassi,Sabina,0
Year Long Disaster,Black Magic; All Mysteries Revealed,Stranger In My Room,2010
Johnny Osbourne,Rougher Than Them,Mine Yuh Business,0
Sneaky Sound System,I Love It,I Love It [Clubstar Remix],2006
Bénabar,Reprise Des Négociations,Christelle Est Une Ordure,2005
Bally Sagoo,Hanji,Punjabian Di Chale Glassi,2003
Blue Rodeo,Small Miracles,Mystic River,2007
Singing Melody Feat. Robyn,Expression,Are You Home,0
Fat Joe,Loyalty,Prove Something (explicit album version),2002
Whitney Cummings,Emotional Ninja,Romance,2009
Los Titanes,Rumba Que Te Tumba,No La Dejes Sola,2008
3 Steps Ahead,Most Wanted & Mad,My Mind Is Gone,1997
Willie Clayton,Changing Tha Game,Unconditionally (Soul and R&B),0
Shinehead,The Real Rock,World Of The Video Game,0
Cool cavemen,Multipolar,Burlesque burglary,0
Roni Size,Roni Size Reprazent - New Forms2,Encore,0
Sergio Franchi,This Is Sergio Franchi,Arrivederci Roma,0
Oak Ridge Boys,Early Gospel Recordings,Hide Thou Me,0
Ross,I Promise My Heart,I Promise My Heart,0
Streetwize,Put U To Bed,No One,0
Leon Russel,Thank You Edith! (Tribute to Edith Piaf),Three Bells / Les 3 cloches,0
Nick Cave & The Bad Seeds,Nocturama,Rock Of Gibraltar,2003
Screamin' Jay Hawkins,I Put a Spell on You: The Best Of,I Put a Spell on You,1956
Nando Lauria,Latino Christmas,O Come All Ye Faithful,2003
Army of the Pharoahs,The Torture Papers,Narrow Grave,0
Kerson,Club Work Session Vol.03,Melody,0
Jean Gabin,The Greatest Hits from 40's and 50's_ Vol. 28,C'est moi le mari,0
João Gilberto / Gilberto Gil / Caetano Veloso,Brasil,Cordeiro De Nana,0
Charlie McCoy,Harpin´ The Blues,Blue Yodel No. 1(T For Texas),0
Justin,JTV,Lu Ren Jia,0
The Beatles,Here There And Everywhere,Derek Taylor - Introduction,0
Andy Andy,Tu Me Haces Falta,Maldito Amor Featuring Tito El Bambino (Version Urbana),0
Cheo Feliciano,Latin Nights,Juguete,1972
Danny Wright,An Intimate Christmas,Holly & The Ivy (Album Version),0
The Winans,Everything Will Be Alright_ The Power of Gospel,Are We Really Doing Your Will,0
Radney Foster,Another Way To Go,Again,0
Atman,97 | 07,Luminous Bliss,2005
US Coast Guard Band,Liberty For All!,Fanfare For Freedom,0
Forensics,On a Bridge Atop the Heap of Friends Who Jumped,Boat Day At the Marina,0
Bobby Capo,Bobby Capo Selected Hits Vol. 2,La Luna Enamora - Original,0
A-Studio,S.O.S.,S.O.S.,0
Stephan Micus,Desert Poems,Contessa Entellina,2001
Ice Cube,Laugh Now_ Cry Later,Why We Thugs (edited version),0
Bellatrax feat. Tina Cousins,Can't Hold Back,Can't Hold Back,0
Georges Delerue,Police Python 357 / L'Important C'Est D'Aimer/Paul Gaugu In/ Malpertuis / Jamais Plus Toujours,Le Théâtre / Bof L'Important C'Est D'Aimer,0
Kathleen Madigan,Kathleen Madigan,Religion,0
Sandy Posey,One Fine Day,When Will I Be Loved,1990
Ice Cube,The Predator (World) (Explicit),Gangsta's Fairytale 2 (Explicit),0
Johnny Keating & All Stars,Ultraviolet,Fair Diana,0
Willie Clancy,Willie Clancy The Gold Ring,Double Jig: The Rolling Wave,0
A Challenge Of Honour,Wilhelm Gustloff,Heiliges Feuer,0
Boards of Canada,Music Has The Right To Children,Happy Cycling,1996
Ed Calle,Twilight,Bar Talk,0
Marisela,Borron Y Cuenta Nueva,Un Amor En El Olvido,0
Keb' Mo',Keep It Simple,I'm Amazing,2004
Nickelback,Photograph [Commercial Single],We Will Rock You,2005
MU330,Chumps On Parade,Cursed Again,1997
P.o.d,When Angels and Serpents Dance,Roman Empire,0
Ron Goodwin,Battle Of Britain,Personal Tragedy,1999
Ed Ames,Reader's Digest Music: Ed Ames - The Reader's Digest Sessions_ Vol. 1,For Me And My Gal,0
Bela Fleck And The Flecktones,Bela Fleck and the Flecktones,Frontiers (LP Version),0
George Nooks,Standing By,Better Way Of Life,2001
The Clark Sisters,Family Christmas,Drummer Boy,0
Simon & Garfunkel,The Collection,Old Friends,1968
Jah Cure,The Universal Cure,Freedom,2008
Statues,Aux,Urbania,0
The Flies,The Flies,All Too Human,2007
Whitney Cummings,Emotional Ninja,Porn,2009
David Bowie,Time Will Crawl E.P.,Time Will Crawl (Extended Dance Mix),0
EPMD,Business As Usual,Mr. Bozack,1990
Linkin Park,Hybrid Theory,Pushing Me Away (Album Version),2000
The Roots,The Roots Come Alive,The Ultimate,0
The Del McCoury Band,Del And The Boys,Gone But Not Forgotten,0
Vivian,Nordic Hotel,Celebration,0
The Jackson Southernaires,Thank You Mama For Praying For Me...,Thank You Mama,0
Bruce BecVar,Rhythms Of Life,Razamataz,0
Ronnie Milsap,The Essential Ronnie Milsap,Why Don't You Spend The Night,1980
Between The Buried And Me,Between The Buried And Me,Use Of A Weapon (Album Version),2002
The Germs,Germicide,Intro,0
Los Auténticos Decadentes,Vinyl Replica: El Milagro Argentino,No Sé  Lo Que Hacer,0
Time Factory,No borders,Fleeting sound,2006
Deathstar,The Triumph,Represent,0
Dark Fortress,Ylem,Evenfall,2010
Deborah Coleman,Soft Place To Fall,Confused,2000
Ayo,Down On My Knees,Down On My Knees,2006
Emilio,10 Aniversario,Hoy,0
Bobby Russell,Children's Christmas Party,Jingle Bell Rock,0
Elmore James,Dark And Dreary,Strange Kinda Feeling (Take 4),1993
Donna The Buffalo,Silverlined,Garden Of Eden,0
Mindy McCready,Mindy McCready,Be With Me,2002
Eric Burdon,Good Times - A Collection,Hook Of Holland,0
Faking David,Freedom Of Expression,Sex Will Sell,0
Geggy Tah,Into the Oh,Special Someone,2001
Lisa Lisa & Cult Jam (featuring Full Force),Super Hits,U Never Nu How Good U Had It,1989
Sugarman Three,Soul Donkey,Mulin' Around,0
BT,The Dungeonmaster's Guide,Knowledge Of Self (Evol Intent Remix),2004
Seamus Egan,Traditional Music Of Ireland,McDermott's Fancy / Swans Among The Rushes / Chicago / The Swallow's Nest - (jig),0
Gisele MacKenzie,The Very Best of Gisele MacKenzie,Swinging Down the Lane,0
Korn,Live & Rare,Right Now,2003
Pat Travers,The Very Best Of,Black Betty,0
Seven Mary Three,Rock Crown,People Like New (LP Version),1997
Red Hot Chili Peppers,By The Way,Venice Queen (Album Version),2002
Schizoid,Static Dynamics,Strangerhood,0
Irini Merkouri,Na Fisai I Anixi,Oute Mia Fora,0
Bukka White,The Panama Limited,Fixin' To Die Blues,1940
:Blacks On :Blondes,Travel Without Leaving The Bed,Sublime Control,0
Foxy Brown / Total,Chyna Doll,I Can't,0
David Gilmour Featuring Richard Wright,Arnold Layne,Arnold Layne,2006
Willie Bobo,Latin Jazz (Jazz Club),It's Not Unusual,2008
Johnny Pearson,Industrial Panorama,Running Sabotage,0
Bumblefoot,Abnormal,Piranha,2008
The Fabulous Thunderbirds,Powerful Stuff,Rainin' In My Heart,1989
The Family Stand,Moon In Scorpio,The Education Of Jamie,0
Peter Tosh,Bush Doctor,Soon Come (2002 Digital Remaster),1978
Fito Paez,Confiá,La Ley De La Vida,2010
Rhian Sheehan,Paradigm Shift,An Afternoon On the Moon (Jet Jaguar's Remix),2001
Jacob Young,This Is You,Print,0
Blind Willie Johnson,The Roots Of Rap: Classic Recordings From The 1920s & 30s,If I Had My Way I'd Tear This Building Down,1996
Kool Keith,Official Space Tape,Wanna Be A Star,1996
Lou Reid & Carolina,My Own Set Of Rules,It's So Hard To Stumble (When You're Down On Your Knees),0
Riviera Regime,Thugz Of War,Doin' It,0
Chris Vickery,Temporary Measures,Jokers and Thieves,0
Leo Ku,Steel Box Collection - Leo Ku,Ai De Jie Shi,0
Tha Liks featuring King T,X.O. Experience,The Bubble,2001
Onesidezero,Is This Room Getting Smaller?,Awake (Album Version),2001
The Jets & The Sharks & Leonard Bernstein&The New York Philharmonic Orchestra,West Side Story - Original Broadway Cast,The Dance at The Gym,0
Elva Hsiao,The Fifth Ave,Shi Qu Ni,0
Andy & Lucas,Ganas De Vivir,Dios Bendiga,0
Buddy Johnson,Jukebox Hits 1940-1951,Because - Part 1,0
Wet Wet Wet,All I Want,Goodnight Girl,1992
Alexis HK,Les Affranchis,Maudits anglois,2009
Alejandro Lerner,20 Años,Nena Neurótica,0
Yodi's,Zèlé,Zélé,0
Mikey Dread,Rockers Vibration,Hot Cross Bun,1982
Billy Butler,Billy Butler's Sugar Candy Lady,I'm Gonna Make Her Mine - Original,0
Usher,Usher,I'll Show You Love,1994
The Ghost Of Lemora,Reach For The Ground,Reach For The Ground,0
Y&T,Open Fire,Black Tiger,1982
Rhian Sheehan,Paradigm Shift,Existing Alone,2001
Mario Rosenstock,Gift Grub 8 - The G Factor,Paint Ball,0
Rev. Timothy Wright,"Who's On The Lord's Side ""Live",I Know A Man,0
Lou Ann Barton,An Austin Rhythm And Blues Christmas,Please Come Home For Christmas,1986
Michèle Bernard,Mes premiers vinyls,Le bar du grand désir,2002
Earl Hooker,Two Bugs And A Roach,Love Ain't A Play Thing,1968
Cannon's Jug Stompers,The Cornshucker's Frolic: Classic Recordings From The 1920's & 30's_ Vol. 2,Mule Get Up In The Alley,0
Dolores Keane,Solid Ground,Telling Me Lies,1993
Kanye West / Adam Levine,Heard 'Em Say,Heard 'Em Say,2005
Bob Marley,Lively Up Yourself,Small Axe,1999
Robin Frederick,How Far? How Fast?,Calling Dr Zarkov,0
A Tribe Called Quest,The Best Of,Scenario,1991
Kings Of Leon,Charmer,My Party (Kenna Remix),2007
Andy Russell,Great Gentlemen Of Song / Spotlight On Andy Russell,Easter Parade (1992 Digital Remaster),0
Pentangle,Sweet Child,Hole In The Coal,0
Jaime Urrutia,En Joy,Suite nupcial (directo Enjoy 07),0
David Meece,Front Row,Gospel Train (LP Version),0
Shade Sheist / DJ Vice / DJ Echo / Damizza,Informal Introduction,Holla Boyz Outro,0
Placebo,The Bitter End,Evalia,2003
Eddie Cano,Here is Fabulous Eddie Cano,Green Fields  (Album Version),0
Van Halen,Fair Warning,"Dirty Movies"" (Album Version)",1981
Cobra Killer,Cobra Killer,Kick Jump - Part Jump,1998
Jeff & Sheri Easter,By Request,There Is a Way,0
Birmingham Jubilee Singers,Birmingham Jubilee Singers Vol. 2 (1927-1930),Toot Toot Dixie Bound,0
Eddie Turner,Rise,Rise,2005
Marvin Sapp,Be Exalted,Smile,0
Los Chichos,Amor Y Ruleta,Vuelve Junto A Mi,1979
Tel Basta,Lickerish,I'm Poured Out Like Water,1996
Epidemic,Epidemic,Catalyst (LP Version),0
Deodato,Night Cruiser,Night Cruiser (Album Version),0
Jimmy Wakely,Vintage Collections,Midnight Wind,0
Dark Fortress,Séance,Ghastly Indoctrination,2006
Nicholas,Apiti_ vol. 3,Poaki,0
Teenage Fanclub,Howdy!,The Sun Shines From You,2000
Shaman,Irresistible Meltdown Vol. 2,Battle Of The Tom Tom,0
Kary Ng,Lian Ai Tian Cai,Lian Ai Tian Chi,0
Suzi Quatro,The Wild One - The Greatest Hits,Mama's Boy,1979
Mista,Mista,If My Baby (LP Version),0
The King Sisters & Alvino Rey,In The Mood,The Army Air Corps,0
Sugar Minott,Dance Hall Showcase Vol. II,Informer,2008
Humanzi,Diet Pills & Magazines,Anxiety,0
Malina,Malina.Org.azm.ru,Shagi po bitomu steklu,0
Gene Latter,Groove It,Groove It,0
Jeff Beck Group,Original Album Classics,Ice Cream Cakes,1972
Steve Smith,This Town,Better Off That Way,0
Billy May & His Orchestra,All Of Me,Tenderly,0
X-Raided,The Unforgiven Vol. 2.5,Assisted Suicide 2.5,0
Cedric Gervais Featuring Caroline,Spirit in My Life,Spirit in My Life (Earnshaw's Instrumental),0
Roberto Roena,Apollo Sound V,Oriza Eh,0
Marga Gomez,Hung Like A Fly,Introduction,0
The Stooges,1970: The Complete Fun House Sessions,Studio Dialogue (#19),0
Kurupt_ Rosco_ Jayo Felony & 40 Glocc,Kalifornia Love,She Flock To Me,0
Christie Hennessy,The Platinum Collection,Roll Back The Clouds,0
Flamin' Groovies,Teenage Head,Evil Hearted Ada,1971
The Jeremy Spencer Band,Flee,Travellin' (Album Version),0
Eddie Cantor,All Time Greats,That's The Kind Of Baby For Me,2000
Tum Tum [DJ Drop Mix],The Definition Of A ZillaNaire [DJ Drop Mix],Definition Of A Zilla'Naire,0
Candy Lo,Miao......,Ji Nian Pin,0
Kings Of Leon,Youth & Young Manhood,Genius,2003
Royal S,Attitude Identitaire,I.A.I,0
Steve Chou,Happy Etude,Yang Guang He Xu,0
Rocio Jurado,15 Exitos Originales Con Rocio Jurado,Mi Amante Amigo,0
D.O.W.N.,Southern Slang (Chopped & Screwed),I Don't Give A F**K,0
Salieri,Electric Doorbells,Now everybody's gone,0
Buckwheat Zydeco,Best Of/20th Century,Hot Tamale Baby,1987
Everyday Sunday,Wake Up! Wake Up!,Wake Up! Wake Up! (Wake Up! Wake Up! Album Version),2007
The Brooklyn Tabernacle Choir,Praise Him...Live!,Everything I Desire,1995
Juan Farcik,Wet Memory,Laziness,0
Andy Griffith,The Christmas Guest,Jesus Walked This Lonesome Valley  (The Christmas Guest Album Version),0
Killswitch Engage,Killswitch Engage [Special Edition],In A Dead World (Album Version),0
Michèle Arnaud,The Greatest Hits from 40's and 50's_ Vol. 40,Avec lui,0
Nelson Ned,Canta Lo Mejor De Los Mejores,La Barca,0
Crazy Girl,Get Picked Up,Get Picked Up,0
Saigon Kick,Live Around The World 1991 - 1996,ICU,0
Lyrics Born,Same !@#$ Different Day,Over You (feat Joyo Velarde_ prod DJ Shadow),2005
Charley Pride,Super Hits,Let The Chips Fall,0
Memphis Jug Band,The Best Of The Memphis Jug Band,Ambulance Man,2001
Pardesi,Balle! Balle! Sounds of Bhangra,Dama Dam Mast Kalander,0
Louis Prima & Keely Smith,The Vegas Years,When You're Smiling - Sheik Of Araby,0
Les Ogres De Barback,Irfan_ le héros,Printemps,1999
Nicho Hinojosa,Nicho... En El Bar 2,Tomame O Dejame,0
Yami Bolo,Reggae Superstars 9 & 10,The Wonders,0
The Refreshments,24-7,My Girlfriend's Friend,0
Ramón Vargas;Vesselina Kasarova;Vladimir Jurowski,Massenet: Werther,Werther - Lyric Drama in four Acts/Act I/Rêve! Extase! Bonheur!,0
Michael Jackson,Soulsation! The 25th Anniversary Collection,Just A Little Bit Of You,1975
Omni,It Is What It Is,It Is What It Is (feat. Anton X),0
DJ Nasty,Tha Remixes Vol. 2,Do It,0
Sizzla,Riddim Driven: Wanted,Love & Devotion,2003
King Curtis with Jack Dupree,Blues At Montreux,Everything's Gonna Be Alright (Live Version),0
Incubus,Live in Malaysia 2004,Just A Phase,2001
X-Raided,X-Filez V.1: 24 Garden Blocc Classics,Fuckin' Wita Psycho,0
The Nelons,Glad You're Here,Only A Look,0
Irma Thomas,Straight From The Soul,I'm Gonna Cry Til' My Tears Run Dry,2004
Michael McDonald,If That's What It Takes,Losin' End (LP Version),0
The Roches,The Roches,Mr. Sellack (Album Version),1979
Tam Tam Go!,The Platinum Collection,Hypnotise The Cat,0
William Orbit,Strange Cargo III,Harry Flowers,1993
Orchestra e Coro del Palacio de Bellas Artes Di Cittá del Messico_ Oliviero De Fabritiis_ Maria Call,Verdi: Aida,Atto Quarto: 'La Fatal Pietra Sovra Me Si Chiuse...' (Radames) (Verdi),0
John D. Loudermilk,The Open Mind Of John D. Loudermilk,Nassau Town,0
Conjunto Mar Azul,Happy Boy,Dime,0
Tina Ann,Situations,Too Late (Orange Factory Extended Mix),2003
Radio Moscow,Brain Cycles,Broke Down,2009
Giuseppi Logan,The Giuseppi Logan Quintet,Bop Moon,0
Stille Volk,Maudat,Orgasme Tellurique,2003
Vusi Mahlasela,Miyela Africa,Amdokwe,0
Kraftwerk,The Mix (2009 Digital Remaster),Pocket Calculator (2009 Digital Remaster),0
